0.1887,0.1367,0.0602,0.0482,0.0965,0.1695,0.1712,0.0650,0.0246,0.0188,0.0091,0.0063,0.0051
0.0763,0.2280,0.1389,0.0274,0.0422,0.1153,0.1639,0.1337,0.0417,0.0164,0.0071,0.0036,0.0053
0.0381,0.1531,0.2668,0.0967,0.0127,0.0360,0.1055,0.1443,0.0847,0.0386,0.0120,0.0042,0.0071
0.0485,0.0463,0.1522,0.3117,0.0609,0.0205,0.0333,0.0833,0.1246,0.0707,0.0350,0.0069,0.0060
0.1622,0.0570,0.0259,0.0772,0.4050,0.0904,0.0125,0.0058,0.0286,0.0651,0.0474,0.0176,0.0054
0.1797,0.1743,0.0602,0.0225,0.0736,0.3278,0.0713,0.0310,0.0065,0.0118,0.0188,0.0175,0.0051
0.1480,0.2293,0.1363,0.0288,0.0105,0.0476,0.2994,0.0577,0.0122,0.0075,0.0053,0.0095,0.0079
0.0766,0.1963,0.1986,0.0728,0.0095,0.0322,0.0673,0.2643,0.0434,0.0132,0.0024,0.0086,0.0149
0.0491,0.1184,0.1931,0.1507,0.0307,0.0111,0.0337,0.0595,0.2729,0.0515,0.0121,0.0051,0.0121
0.0704,0.0805,0.1349,0.1347,0.0806,0.0320,0.0194,0.0352,0.0645,0.2650,0.0585,0.0119,0.0124
0.0885,0.0835,0.0842,0.0955,0.1115,0.0759,0.0246,0.0128,0.0401,0.0729,0.2423,0.0503,0.0179
0.1114,0.0947,0.0698,0.0542,0.0694,0.0892,0.0643,0.0364,0.0172,0.0354,0.0741,0.2375,0.0463
0.0633,0.1129,0.1057,0.0481,0.0338,0.0442,0.0752,0.0972,0.0634,0.0523,0.0285,0.0371,0.2384