0.46419620,0.13816778,0.04992492,0.04935869,0.07423577,0.07463838,0.05391643,0.02691352,0.01726416,0.01747722,0.01360396,0.00797688,0.01232609
0.09403016,0.61652192,0.13858286,0.02219282,0.02689802,0.02848044,0.02667217,0.01864167,0.00880720,0.00577617,0.00463824,0.00365797,0.00510035
0.02945508,0.26698732,0.38860621,0.13182885,0.04108644,0.03391216,0.03266340,0.03048697,0.02133653,0.01138035,0.00569443,0.00253794,0.00402431
0.02681675,0.05648242,0.20992335,0.28502078,0.12377704,0.08033133,0.07018610,0.05188536,0.04413533,0.02927379,0.01452210,0.00431733,0.00332832
0.04867687,0.02248169,0.04821891,0.15242506,0.23747920,0.13919182,0.11172984,0.08877314,0.06436682,0.05231192,0.02498174,0.00669052,0.00267246
0.04980040,0.03917379,0.04365060,0.08600104,0.15327082,0.18424268,0.14241644,0.11003810,0.08690074,0.05756817,0.03410972,0.00861657,0.00421093
0.04134061,0.03982370,0.04141681,0.06783327,0.12945459,0.13913813,0.17457359,0.14871068,0.09990640,0.07213177,0.03175757,0.00831389,0.00559900
0.02246871,0.02950246,0.04253532,0.07278479,0.11770940,0.13836694,0.14399387,0.16644922,0.12742277,0.09344179,0.03291344,0.00902537,0.00338592
0.01733499,0.02032427,0.04997867,0.07160185,0.11091785,0.13864708,0.14833985,0.14611043,0.14120278,0.09515742,0.04770172,0.00889499,0.00378808
0.01176828,0.03175997,0.05073959,0.06399345,0.11249490,0.11822315,0.11928980,0.15344880,0.15052462,0.11559649,0.05821500,0.01062243,0.00332351
0.02930457,0.03917530,0.05516900,0.06106780,0.11083624,0.13207330,0.11958947,0.14142364,0.10950509,0.10728516,0.07187061,0.01683752,0.00586231
0.04420856,0.03885565,0.05021066,0.07057499,0.10943189,0.11474457,0.13731513,0.11545809,0.10818438,0.08530041,0.07058576,0.03049162,0.02463828
0.05744803,0.08241769,0.06013364,0.07000822,0.09895171,0.10940619,0.09378187,0.07325257,0.06724771,0.06227347,0.06001724,0.04888293,0.11617874